Type,Strike,Bid,Ask,IV,Delta,Volume
Call,80,21.63026252295246,22.41737460426787,0.2464911369429157,0.9,3250
Put,80,0.05,0.1,0.2718533540292448,-0.09999999999999998,2668
Call,85,14.93092956236364,14.084558964195224,0.2765722603546868,0.8,877
Put,85,0.05,0.1,0.24619658554504192,-0.2,3585
Call,90,11.106603819775778,9.951793733250698,0.27075530602113296,0.7,2856
Put,90,0.05,0.1,0.20259002282102762,-0.3,995
Call,95,5.513734870701484,6.361552836570169,0.2819161269166863,0.6,3839
Put,95,0.05,0.1,0.2898444744991303,-0.4,4602
Call,100,0.05,0.1,0.290684244770484,0.5,1374
Put,100,1.299786831484758,1.5376037789867052,0.20607552730899803,-0.5,3478
Call,105,0.05,0.1,0.2960825894942801,0.4,4217
Put,105,5.39276992739109,7.354605593117191,0.22813770607126424,-0.6,2139
Call,110,0.05,0.1,0.24856983880048705,0.3,2347
Put,110,10.935591060588573,12.771928366083914,0.2331883320993566,-0.7,854
Call,115,0.05,0.1,0.255245072563487,0.2,2695
Put,115,16.3171379829801,17.628478416563016,0.25457340861706423,-0.8,2304
Call,120,0.05,0.1,0.22161527101356024,0.09999999999999998,3777
Put,120,20.461449025603706,20.488644399274047,0.20868899375660482,-0.9,2921
